,Twitch Switch,,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,
,Version:,3.0,,Last updated:,2024-Mar-25,,,,56,,, $197.95 , $373.73 ,6:14,,,
ID,Part,Description,,Manufacturer,MPN,Supplier,Supplier PN,QTY,QTY / PKG,PKGs,$/PKG,Price per Unit,Total Price,,Link,Alternate,Notes
,Electronics,,,,,,,,,,,,,,,,
Twitch Controller,,,,,,,,1,,,,,,,,,
A04,"J1, J2, J3",CONN JACK STEREO 3.5MM TH R/A,,"Kycon, Inc.",STX-3000,Digi-Key,2092-STX-3000-ND,3,1,3, $1.18 , $3.54 , $3.54 ,,https://www.digikey.ca/en/products/detail/kycon-inc/STX-3000/9975995,,
A05,"U1, U2, U3","DIP-4 400V/120 MA, SSR RELAY SPS",,"Bright Toward Industrial Co., Ltd.",AB30,Digi-Key,3008-AB30-ND,3,1,3, $2.72 , $8.16 , $8.16 ,,https://www.digikey.ca/en/products/detail/bright-toward-industrial-co-ltd/AB30/13556959,,
A09,"R1, R2, R3",RES 680 OHM 5% 1/4W AXIAL,,YAGEO,CFR-25JB-52-680R,Digi-Key,680QBK-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-680R/2826,,
A06,"R4, R5, R6",RES 330 OHM 5% 1/4W AXIAL,,YAGEO,CFR-25JB-52-330R,Digi-Key,330QBK-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-330R/1636,,
A12,"SW2, SW3","6 X 7.4 MM, 15.3 MM ACTUATOR HEI",,CUI Devices,TS11-674-153-BK-260-RA-D,Digi-Key,2223-TS11-674-153-BK-260-RA-D-ND,2,1,2, $0.24 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/cui-devices/TS11-674-153-BK-260-RA-D/16562823,,
A03,SW1,SWITCH SLIDE SPDT 100MA 12V,,Nidec Copal Electronics,CSS-1210TB,Digi-Key,CSS-1210TB,1,1,1, $0.91 , $0.91 , $0.91 ,,https://www.digikey.ca/en/products/detail/nidec-components-corporation/CSS-1210TB/1124209,,
A02,XA1,ADAFRUIT FEATHER NRF52840 EXPRES,,Adafruit Industries LLC,4062,Digi-Key,1528-2828-ND,1,1,1, $39.10 , $39.10 , $39.10 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4062/9843410,,
A07,"SW4, SW5, SW6",ROTARY ENCODER MECHANICAL 24PPR,,Bourns Inc.,PEC12R-4230F-S0024,Digi-Key,PEC12R-4230F-S0024-ND,3,1,3, $2.49 , $7.47 , $7.47 ,,https://www.digikey.ca/en/products/detail/bourns-inc/PEC12R-4230F-S0024/4699285,,
A10,TUBE,Silicon tubing 3 mm ID 5 mm OD x 8 mm long,,QJZXUEZHEN,,Amazon,,24,1000,1, $9.30 , $0.22 , $9.30 ,,https://a.co/d/d2qAuZv ,,
A11,"D1, D2, D3",LED RED DIFFUSED T/H,,Lite-On Inc.,LTL2R3KRD-EM,Digi-Key,160-1853-ND,3,1,3, $0.52 , $1.56 , $1.56 ,,https://www.digikey.ca/en/products/detail/liteon/LTL2R3KRD-EM/2675133,,
A08,XA2,Radio nRF24L01P 2.4 GHz Wireless Module,,CANADUINO,nRF24L01-Mini,Amazon,,1,2,1, $5.50 , $2.75 , $5.50 ,,https://www.amazon.ca/gp/product/B07F1PXPXX/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1 ,,"4 total: 1 for controller, 3 for sensors"
A14,,12- and 16 pin female headers,,Adafruit Industriess LLC,2886,Digi-Key,1528-1560-ND,1,1,1, $1.36 , $1.36 , $1.36 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2886/5823440 ,,
A15,BAT1,3.7V 2000mAh lithium-ion polymer battery,,Canada Robotix,2-03-01-02-06,Canada Robotix,2528,1,1,1, $14.99 , $14.99 , $14.99 ,,https://www.canadarobotix.com/products/2528 ,,
A19,SHT,65 mm x 50 mm x 3 mm insulating foam ,,Kiera Grace Store,,Amazon,,1,192,1, $8.99 , $0.05 , $8.99 ,,https://www.amazon.ca/Time-Crafts-sheet-inches-Peach/dp/B0764QHCQS,See below,
A20,,"M2x0.4 x 5 mm screws, flat head",,B&F Fastener Supply,MPMS 002 0005 PH,Digi-Key,H738-ND,2,100,1,26.33, $0.53 , $26.33 ,,https://www.digikey.ca/en/products/detail/b-f-fastener-supply/MPMS-002-0005-PH/274949?s=N4IgjCBcpgHAzFUBjKAzAhgGwM4FMAaEAeygG0R4B2ABlgFYA2EAXSIAcAXKEAZU4BOASwB2AcxABfIowCcsJCFSRMuQiXIgALACZ4jMPVYdukPoNETpIKloXQl6bPiKlIFMNS0Q2ILj35hcSlrHU0AWx0AAhxkATwAd1ZJIA,,
A21,,"M2x0.4 x 25 mm screws, flat head",,McMaster Carr,92010A111,McMaster Carr,92010A111,4,50,1, $9.31 , $0.74 , $9.31 ,,https://www.mcmaster.com/catalog/130/3484/92010A111,,
Twitch Sensors,,,,,,,,3,,,,,,,,,
C04,J3,CONN HEADER R/A 2POS 2MM,,JST Sales America Inc.,S2B-PH-K-S(LF)(SN),Digi-Key,455-1719-ND,3,1,3, $0.25 , $0.75 , $0.75 ,,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/S2B-PH-K-S/926626,,
C02,XA1,Radio nRF24L01P 2.4 GHz Wireless Module,,CANADUINO,nRF24L01-Mini,Amazon,,3,2,2, $5.50 , $8.25 , $11.00 ,,https://www.amazon.ca/gp/product/B07F1PXPXX/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1 ,,Combine with above
A15,BAT2,3.7V 110 mAh lithium-ion polymer battery,,Canada Robotix,930,Canada Robotix,,3,1,3, $5.99 , $17.97 , $17.97 ,,https://www.canadarobotix.com/products/939 ,,
Twitch Switch Data / Charging Cables,,,,,,,,,,,,,,,,,
,USB-Mini,CBL USB2.0 A PLG-MIN B PLG 3.28',,Assmann WSW Components,AK672M/2-1,Digi-Key,AE1450-ND,1,1,1, $3.57 , $3.57 , $3.57 ,,https://www.digikey.ca/en/products/detail/assmann-wsw-components/AK672M-2-1/930235 ,,
,USB-Micro,"USB AM TO USB MICRO, USB 2.0 - 1",,Cvilux USA,DH-20M50055,Digi-Key,2987-DH-20M50055-ND,1,1,1, $2.24 , $2.24 , $2.24 ,,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50055/13175849 ,,
Twitch Switch Adapted Device Cables,,,,,,,,,,,,,,,,,
,CBL,3.5 mm Male-Male Mono Cable,,Switchcraft Inc.,33HR07233X,Digi-Key,SC1812-ND,3,1,1, $12.11 , $36.33 , $12.11 ,,https://www.digikey.ca/en/products/detail/switchcraft-inc/33HR07233X/1289530,,
Twitch Sensor Programmer,,,,,,,,,,,,,,,,,
D01,,CP2102 Programmer,,Generic,,Amazon,,1,2,1, $9.98 , $4.99 , $9.98 ,,https://www.amazon.ca/gp/product/B07D6LLX19,,
D02,,Schottky Diode,,Diodes Incorporated,SDM03MT40-7-F,Digi-Key,SDM03MT40-FDICT-ND,1,1,1, $0.66 , $0.66 , $0.66 ,,https://www.digikey.ca/en/products/detail/diodes-incorporated/SDM03MT40-7-F/814745?s=N4IgTCBcDaIMoBECyAGAzEgKgFhQWgDEEBJAYUzwDkEQBdAXyA ,,
D03,,4.3 Ohm Resistor,,Stackpole Electronics Inc,CF14JT4K30,Digi-Key,CF14JT4K30CT-ND,1,1,1, $0.15 , $0.15 , $0.15 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF14JT4K30/1741423,,
D04,,Solderless Breadboard,,DFRobot,FIT0096,Digi-Key,1738-1326-ND,1,1,1, $4.43 , $4.43 , $4.43 ,,https://www.digikey.ca/en/products/detail/dfrobot/FIT0096/7597069,,
D05,,Female-to-male Dupont Wire,,Adafruit Industries LLC,1953,Digi-Key,1528-2233-ND,5,20,1, $2.79 , $0.70 , $2.79 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1953/7241478?s=N4IgTCBcDaIIYBM4DMBOBXAlgFwAQEYBOAVgGYQBdAXyA ,,
D06,,Male-to-Male Dupont Wire,,Adafruit Industries LLC,1956,Digi-Key,1528-1966-ND,2,20,1, $2.79 , $0.28 , $2.79 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1956/6827089 ,,
,Custom PCB,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,,Supplier,Supplier PN,QTY,QTY / PKG,PKG,$/PKG,Price per Unit,Total Price,,Link,,
A01,PCB1,Twitch Switch Controller Custom PCB,,JLCPCB,,,,1,5,1,5,1,5,,,,
C01,PCB2,Twitch Switch Sensor Custom PCB,,JLCPCB,,,,3,15,1,12.06,2.41,12.06,,,,
C01.1,PCB2A,Twitch Switch Sensor Custom PCB Assembly,,JLCPCB,,,,3,15,1,123.58,24.72,123.58,,,,
,PCB Shipping,PCB Shipping - DHL Express,Shipping,,,,,1,5,1,25,5,25,,,Kr,
,PCB Shipping,PCB Shipping - Fedex International,Shipping,,,,,0,5,0,25,0,0,,,,
,,,,,,,,,,,,,,,,,
,3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $30.00 ,,,,,,,,,,,,,,,
,Part,Description,,,,,,QTY, Mass (g),,Estimated Price,Estimated Price,Estimated Price,Print Time (hr:Min),Link,,
A16.1,,Twitch Switch Controller Case Top,,,,,,1,20,, $0.60 , $0.60 , $0.60 ,2:11,,,
A16.2,,Twitch Switch Controller Case Bottom,,,,,,1,20,, $0.60 , $0.60 , $0.60 ,2:13,,,
A17,,Switch Cover,,,,,,1,1,, $0.03 , $0.03 , $0.03 ,0:05,,,
A18,,Dial Cover,,,,,,3,1,, $0.03 , $0.03 , $0.03 ,0:14,,,
C06,,Sensor Enclosure Bottom,,,,,,3,5,, $0.15 , $0.15 , $0.15 ,0:34,,,
C07,,Sensor 1 Enclosure Top,,,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:19,,,
C08,,Sensor 2 Enclosure Top,,,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:19,,,
C09,,Sensor 3 Enclosure Top,,,,,,1,3,, $0.09 , $0.09 , $0.09 ,0:19,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,, $-   , $-   , $-   ,,,,
,Alternatives,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,,Supplier,,,,,,,,,,,
,,Solderless Breadboard,,Adafruit Industries LLC,4539,Adafruit,4539,1,1,1, $5.00 , $5.00 , $5.00 ,,https://www.adafruit.com/product/4539,,
,,Solderless breadbooard,,Adafruit Industries LLC,4539,Digi-Key,1528-4539-ND,1,1,1, $7.63 , $7.63 , $7.63 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4539/12082396?s=N4IgTCBcDaIIYBM4DMBOBXAlgFwAQBYBWAZgE4QBdAXyA,,
,,3.7V 2000mAh lithium-ion polymer battery,,Adafruit Industries LLC,2011,Adafruit,2011,1,1,1, $12.50 , $12.50 , $12.50 ,,https://www.adafruit.com/product/2011,,
A20,,M2x0.4 x 5 mm screws,,,,McMaster-Carr,92010A002,2,50,1, $12.50 , $0.50 , $12.50 ,,,,
A21,,M2x0.4 x 25 mm screws,,,,McMaster-Carr,92010A111,4,50,1, $12.50 , $1.00 , $12.50 ,,https://www.mcmaster.com/catalog/130/3484/92010A111,,
,CBL,3.5 mm Male-Male Mono Cable,,Switchcraft Inc.,33HR07233X,Digi-Key,SC1812-ND,3,1,1, $12.11 , $36.33 , $12.11 ,,https://www.digikey.ca/en/products/detail/switchcraft-inc/33HR07233X/1289530,,
,CBL,Mono Audio Plug Jack Connector Male to Male Cable (3FT),,,,Amazon.ca,,3,1,1, $9.95 , $29.85 , $9.95 ,,https://www.amazon.ca/TENINYU-3-5mm-Mono-Cable-Extension/dp/B07PMZXL3Y,,
,CBL,3.5 mm Male-Male Mono Cable,,,,Dollar Store,,3,1,1, $5.00 , $15.00 , $5.00 ,,,Stereo cable should work fine,
,SHT,65 mm x 50 mm x 3 mm insulating foam ,,,,Dollar Store,,3,1,1, $1.00 , $3.00 , $1.00 ,,,,
,,,,,,,,,,, $-   , $-   , $-   ,,,,
,Twitch Switch PCB Assembly Components (Only required if doing manual surface mount soldering),,,,,,,1,,,,,,,,,
,Part,Description,,Manufacturer,,Supplier,,,,,,,,,,,
C01.2,J1,USB C REC GF RA 6P SMT & SMT SHE,,GCT,USB4135-GF-A,Digi-Key,2073-USB4135-GF-ACT-ND,1,1,1, $1.12 , $1.12 , $1.12 ,,https://www.digikey.ca/en/products/detail/gct/USB4135-GF-A/16036137,,
C01.3,U4,IC BATT CHG LI-ION 1CELL 10SON,,Texas Instruments,BQ24045DSQR,Digi-Key,296-39905-1-ND,3,1,3, $2.68 , $8.04 , $8.04 ,,https://www.digikey.ca/en/products/detail/texas-instruments/BQ24045DSQR/3926683,,
C01.4,U1,IC MCU 8BIT 16KB FLASH 20VQFN,,Microchip Technology,ATTINY1606-MNR,Digi-Key,150-ATTINY1606-MNRCT-ND,3,1,3, $1.46 , $4.38 , $4.38 ,,https://www.digikey.ca/en/products/detail/microchip-technology/ATTINY1606-MNR/11476188,,
C01.5,U3,IMU ACCEL/GYRO I2C/SPI 14LGA,,STMicroelectronics,LSM6DSMTR,Digi-Key,497-16696-1-ND,3,1,3, $7.32 , $21.96 , $21.96 ,,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP2138N-3-0TRG1/4770631,,
C01.6,U2,IC REG LINEAR 3V 250MA SOT23-3,,Diodes Incorporated,AP2138N-3.0TRG1,Digi-Key,AP2138N-3.0TRG1DICT-ND,3,1,3, $0.60 , $1.80 , $1.80 ,,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP2138N-3-0TRG1/4770631,,
C01.7,SW1,SWITCH SLIDE SPDT 100MA 12V,,Nidec Copal Electronics,CSS-1210TB,Digi-Key,563-1091-1-ND,3,1,3, $0.91 , $2.73 , $2.73 ,,https://www.digikey.ca/en/products/detail/nidec-components-corporation/CSS-1210TB/1124209,,
C01.8,"C1, C5, C6",CAP CER 0.1UF 25V X5R 0402,,Samsung Electro-Mechanics,CL05A104KA5NNNC,Digi-Key,1276-1043-1-ND,9,1,9, $0.15 , $1.35 , $1.35 ,,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701,,
C01.9,"C2, C3, C4, C7, C8",CAP CER 1UF 10V X5R 0402,,Walsin Technology Corporation,0402X105K100CT,Digi-Key,1292-0402X105K100CT-ND,15,1,15, $0.15 , $2.25 , $2.25 ,,https://www.digikey.ca/en/products/detail/walsin-technology-corporation/0402X105K100CT/6707544,,
C01.10,D1,LED RED CLEAR CHIP SMD,,Kingbright,APT2012EC,Digi-Key,754-1128-1-ND,3,1,3, $0.47 , $1.41 , $1.41 ,,https://www.digikey.ca/en/products/detail/kingbright/APT2012EC/1747527,,
C01.11,R8,RES 10K OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT10K0,Digi-Key,RMCF0402JT10K0CT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT10K0/1758206,,
C01.12,R1,RES 100 OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT100R,Digi-Key,RMCF0402JT100RCT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/walsin-technology-corporation/0402X105K100CT/6707544,,
C01.13,"R2, R3",RES 20K OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT20K0,Digi-Key,RMCF0402JT20K0CT-ND,6,1,6, $0.16 , $0.96 , $0.96 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT20K0/1758166,,
C01.14,R7,RES 2K OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT2K00,Digi-Key,RMCF0402JT2K00CT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT2K00/1758132,,
C01.15,R6,RES 5.6K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT5K60,Digi-Key,RMCF0402FT5K60CT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT5K60/4440018,,
C01.16,R9,RES 215K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT215K,Digi-Key,RMCF0402FT215KCT-ND,3,1,3, $0.16 , $0.48 , $0.48 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT215K/1761448,,
C01.17,R10,RES 113K OHM 1% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402FT113K,Digi-Key,RMCF0402FT113KCT-ND,3,5,1, $0.16 , $0.10 , $0.16 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402FT113K/1761462,,
C01.18,"R4, R5",RES 5.1K OHM 5% 1/16W 0402,,Stackpole Electronics Inc,RMCF0402JT5K10,Digi-Key,RMCF0402JT5K10CT-ND,6,1,6, $0.16 , $0.96 , $0.96 ,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RMCF0402JT5K10/1758112,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
